char_freq_!,word_freq_remove,char_freq_$,capital_run_length_average,word_freq_your,word_freq_free,capital_run_length_longest,capital_run_length_total,word_freq_hp,word_freq_our,word_freq_money,word_freq_000,word_freq_you,word_freq_george,Class
1.501,0.0,0.0,2.777,1.36,0.45,61,200,0.0,0.45,0.0,0.0,1.36,0.0,1
0.669,0.0,0.0,3.837,1.68,0.42,121,284,0.0,0.42,0.0,0.0,2.1,0.0,1
0.0,0.59,0.0,8.586,0.0,0.0,66,249,0.0,0.0,0.0,0.0,1.77,0.0,1
0.175,0.0,0.0,1.294,1.89,0.23,11,66,0.0,0.23,0.23,0.0,7.1,0.0,1
0.0,0.93,0.0,1.442,0.46,1.39,8,75,0.0,1.39,0.0,0.0,0.93,0.0,1
0.048,0.68,0.048,1.411,2.73,0.34,15,96,0.34,0.68,0.0,0.0,3.42,0.0,1
0.019,0.0,0.019,1.714,3.01,0.0,34,180,0.0,1.32,0.0,0.12,4.1,0.0,1
2.205,0.0,0.0,3.184,1.32,1.98,34,121,0.0,0.0,0.0,0.0,1.32,0.0,1
0.589,0.48,0.294,4.85,1.95,0.48,47,194,0.0,1.46,0.48,0.0,0.97,0.0,1
0.5,1.47,0.0,1.214,1.47,0.0,3,17,0.0,0.0,0.0,0.0,5.88,0.0,1
1.053,0.0,0.351,3.884,1.23,2.15,66,303,0.0,0.0,0.3,0.0,5.53,0.0,1
0.0,0.0,0.1,4.548,0.0,0.0,59,141,0.0,0.0,0.0,1.96,0.0,0.0,1
0.537,2.53,0.0,72.5,3.79,0.0,287,290,0.0,1.26,0.0,0.0,2.53,0.0,1
0.877,0.0,0.0,3.4,1.06,0.53,61,187,0.0,0.53,0.0,0.0,1.6,0.0,1
0.807,0.0,0.0,3.849,1.34,0.44,121,281,0.0,0.44,0.0,0.0,2.24,0.0,1
0.298,0.46,0.223,2.156,1.38,0.92,13,110,0.0,0.46,0.0,0.46,2.76,0.0,1
0.486,0.48,0.243,5.13,2.41,0.48,78,236,0.0,1.44,0.0,0.48,2.41,0.0,1
1.366,0.0,0.0,26.5,0.94,2.83,245,318,0.0,0.0,0.0,1.88,0.94,0.0,1
0.165,0.0,0.082,2.325,1.18,0.0,16,100,0.0,0.0,0.0,0.0,4.14,0.0,1
0.437,0.0,0.234,3.675,1.26,0.37,45,1066,0.0,0.18,0.75,0.44,2.96,0.0,1
0.132,0.2,0.0,1.65,0.62,0.83,15,175,0.0,1.67,0.0,0.62,2.09,0.0,1
0.0,0.0,0.338,1.666,0.0,0.0,5,10,0.0,0.0,0.0,0.0,5.26,0.0,1
1.431,0.0,0.0,4.071,1.11,0.0,29,114,0.0,0.0,0.0,0.0,5.55,0.0,1
0.197,0.23,0.0,5.038,1.9,0.23,280,519,0.0,0.0,0.47,0.0,2.38,0.0,1
0.495,0.0,0.0,1.525,0.0,2.91,8,61,0.0,0.0,0.0,0.72,1.45,0.0,1
0.724,0.0,0.0,3.071,1.28,1.28,9,43,0.0,1.28,0.0,1.28,2.56,0.0,1
0.834,0.0,0.0,5.13,0.0,0.0,27,118,0.0,0.0,0.0,0.0,0.0,0.0,1
0.571,0.46,0.214,4.63,1.4,1.86,64,213,0.0,1.4,0.46,0.0,0.93,0.0,1
0.061,0.0,0.061,1.775,2.3,0.38,20,158,0.0,1.15,0.38,0.0,2.69,0.0,1
0.268,0.0,0.0,2.815,1.58,0.79,26,107,0.0,0.0,0.0,0.0,3.96,0.0,1
0.096,0.0,0.085,3.353,1.21,0.2,144,845,0.0,0.4,0.06,0.0,1.14,0.0,1
0.0,0.0,0.0,3.8,0.0,0.0,23,38,0.0,0.0,0.0,0.0,0.0,0.0,1
1.083,1.12,0.333,4.974,1.68,0.56,140,194,0.0,2.24,0.0,0.0,3.93,0.0,1
0.322,0.05,0.764,6.1,1.5,0.26,193,3038,0.0,0.05,0.34,1.05,3.25,0.0,1
0.613,0.03,0.532,7.3,1.53,0.22,763,2453,0.0,0.14,0.63,0.59,3.43,0.0,1
0.612,0.03,0.531,7.3,1.53,0.22,763,2453,0.0,0.14,0.63,0.59,3.43,0.0,1
0.082,0.0,0.823,3.4,2.31,0.0,12,102,0.0,0.0,0.0,1.38,2.77,0.0,1
0.0,0.46,0.0,2.676,0.0,0.0,32,91,0.0,0.0,0.0,0.46,1.87,0.0,1
1.284,0.0,0.0,3.639,1.4,1.05,61,313,0.0,0.35,0.0,0.0,2.11,0.0,1
0.736,0.0,0.0,2.81,0.86,0.43,61,222,0.0,0.43,0.0,0.0,1.29,0.0,1
0.31,0.0,0.0,4.897,0.0,0.6,17,191,0.0,0.0,0.0,0.6,1.21,0.0,1
0.461,0.0,0.527,3.166,1.24,0.41,19,114,0.0,0.0,0.41,0.0,3.73,0.0,1
0.38,0.7,0.0,1.153,1.41,2.83,3,30,0.0,4.25,0.0,0.0,4.96,0.0,1
0.662,0.0,0.0,10.068,0.0,0.64,131,292,0.0,0.0,0.0,0.64,2.59,0.0,1
1.529,0.0,0.0,5.5,0.0,0.0,22,66,0.0,0.0,0.0,0.0,0.0,0.0,1
0.662,0.0,0.0,10.068,0.0,0.64,131,292,0.0,0.0,0.0,0.64,2.59,0.0,1
1.529,0.0,0.0,5.5,0.0,0.0,22,66,0.0,0.0,0.0,0.0,0.0,0.0,1
0.662,0.0,0.0,10.068,0.0,0.64,131,292,0.0,0.0,0.0,0.64,2.59,0.0,1
1.529,0.0,0.0,5.5,0.0,0.0,22,66,0.0,0.0,0.0,0.0,0.0,0.0,1
0.462,0.0,0.0,5.793,0.0,0.79,22,168,0.0,0.0,0.0,0.79,1.58,0.0,1
1.529,0.0,0.0,5.5,0.0,0.0,22,66,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,1.96,0.0,6.166,1.96,0.0,60,74,0.0,0.0,0.0,0.0,3.92,0.0,1
1.907,2.46,0.0,1.285,0.0,2.46,7,36,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,2.913,0.0,0.0,27,67,0.0,0.0,0.0,0.0,2.38,0.0,1
0.0,0.76,0.177,3.836,0.76,0.0,79,211,0.0,0.38,0.0,0.0,1.52,0.0,1
0.0,0.0,0.0,1.238,0.95,0.0,6,78,0.0,0.95,0.0,0.0,0.95,0.0,1
0.0,0.12,0.119,4.155,1.38,0.25,38,507,0.0,0.88,0.12,1.13,2.9,0.0,1
0.542,0.0,0.0,1.972,1.53,0.51,19,146,0.0,0.51,0.0,0.0,1.53,0.0,1
0.054,0.0,0.118,2.37,0.75,0.0,96,588,0.05,0.1,0.2,0.15,1.55,0.0,1
0.054,0.0,0.118,2.379,0.75,0.0,96,583,0.05,0.1,0.2,0.15,1.55,0.0,1
0.542,2.56,0.0,102.666,5.12,0.0,304,308,0.0,1.28,0.0,0.0,2.56,0.0,1
1.158,1.11,0.331,4.875,1.67,0.55,140,195,0.0,2.23,0.0,0.0,3.91,0.0,1
0.054,0.0,0.118,2.37,0.75,0.0,96,588,0.05,0.1,0.2,0.15,1.55,0.0,1
0.054,0.0,0.118,2.379,0.75,0.0,96,583,0.05,0.1,0.2,0.15,1.55,0.0,1
0.335,0.0,1.281,7.202,1.34,0.23,595,2413,0.0,0.15,0.5,0.5,3.08,0.0,1
0.271,0.16,0.024,5.709,0.64,0.16,149,982,0.0,0.32,0.0,0.0,0.16,0.0,1
0.092,0.3,0.322,2.074,0.61,0.0,49,278,0.0,0.92,0.0,0.61,0.3,0.0,1
1.194,0.33,0.054,5.567,3.69,0.0,101,657,0.0,0.33,0.33,0.0,2.18,0.0,1
0.089,0.0,0.178,3.416,3.03,0.0,53,164,0.0,1.51,0.0,0.0,4.04,0.0,1
0.427,0.59,0.0,10.0,1.19,0.0,33,170,0.0,0.0,0.59,0.0,4.76,0.0,1
0.706,0.4,0.212,1.838,2.0,0.0,13,114,0.0,1.6,0.0,0.0,4.0,0.0,1
0.97,0.0,0.149,32.142,2.48,0.41,335,450,0.0,0.0,0.41,0.82,7.05,0.0,1
0.598,0.38,0.179,4.523,1.52,0.38,78,285,0.0,0.76,0.0,0.38,3.04,0.0,1
0.121,0.4,0.0,1.979,2.0,0.4,12,95,0.0,0.4,0.4,0.0,4.0,0.0,1
0.606,0.0,0.0,2.36,1.12,0.56,19,144,0.0,0.56,0.0,0.0,2.25,0.0,1
0.299,0.16,0.174,1.891,0.47,0.0,24,174,0.0,1.44,0.0,0.64,1.6,0.0,1
0.215,0.0,0.431,4.0,0.0,0.0,25,76,0.0,0.0,0.0,2.53,0.0,0.0,1
0.16,0.0,0.16,2.128,0.78,0.98,31,730,0.0,0.19,0.0,0.19,0.59,0.0,1
0.16,0.0,0.16,2.128,0.78,0.98,31,730,0.0,0.19,0.0,0.19,0.59,0.0,1
0.12,0.0,0.541,5.428,0.33,0.66,21,304,0.0,0.66,0.33,1.66,2.33,0.0,1
0.0,0.0,0.0,1.1,1.49,2.98,2,11,1.49,1.49,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.769,0.82,0.82,11,69,0.0,1.65,0.0,0.0,1.65,0.0,1
0.12,0.0,0.541,5.428,0.33,0.66,21,304,0.0,0.66,0.33,1.66,2.33,0.0,1
0.558,1.58,0.279,3.272,0.0,0.0,23,36,0.0,0.0,0.0,0.0,1.58,0.0,1
0.335,0.0,1.281,7.202,1.34,0.23,595,2413,0.0,0.15,0.5,0.5,3.08,0.0,1
0.558,1.58,0.279,3.272,0.0,0.0,23,36,0.0,0.0,0.0,0.0,1.58,0.0,1
0.715,0.0,0.0,1.181,1.38,2.77,2,13,0.0,0.0,0.0,0.0,4.16,0.0,1
0.215,0.0,0.431,4.277,0.0,0.0,27,77,0.0,0.0,0.0,2.53,0.0,0.0,1
0.12,0.0,0.541,5.428,0.33,0.66,21,304,0.0,0.66,0.33,1.66,2.33,0.0,1
0.865,0.14,0.023,5.133,0.43,0.14,132,1001,0.0,0.29,0.0,0.0,0.58,0.0,1
0.063,0.0,0.126,2.562,1.09,0.0,35,123,0.0,0.0,0.72,0.0,0.72,0.0,1
0.565,0.0,0.121,1.617,2.44,0.81,18,131,0.0,0.81,0.27,0.0,2.17,0.0,1
0.261,0.0,0.0,1.461,1.17,0.0,19,114,0.0,0.0,1.56,0.0,3.13,0.0,1
1.32,1.12,0.33,5.135,1.69,0.56,140,190,0.0,2.25,0.0,0.0,3.95,0.0,1
0.2,0.0,0.0,1.064,1.35,0.0,3,33,0.0,2.7,0.0,0.0,4.05,0.0,1
1.055,0.0,0.0,2.033,0.62,0.62,16,120,0.0,0.62,0.0,0.0,1.24,0.0,1
0.484,0.0,0.0,1.796,0.67,0.33,19,203,0.0,0.33,0.0,0.0,2.02,0.0,1
0.0,0.0,0.0,2.375,2.38,4.76,11,38,0.0,0.0,0.0,0.0,4.76,0.0,1
0.117,1.31,0.117,48.5,3.94,0.0,186,291,0.0,1.31,0.0,0.0,1.31,0.0,1
0.135,0.45,0.0,5.571,0.9,0.45,46,117,0.0,1.36,0.0,0.0,1.81,0.0,1
1.088,0.0,0.0,5.714,0.85,0.0,107,200,0.0,0.85,0.42,0.0,0.85,0.0,1
0.0,0.0,0.185,7.313,0.27,0.0,99,607,0.0,0.27,0.0,0.0,0.27,0.0,1
0.146,0.0,0.146,6.233,0.43,0.43,99,642,0.21,0.43,0.0,0.0,0.21,0.0,1
0.081,0.0,0.816,3.4,2.31,0.0,12,102,0.0,0.0,0.0,1.38,2.77,0.0,1
0.265,0.0,0.0,3.121,1.31,0.87,38,437,0.0,0.29,0.0,0.0,3.66,0.0,1
0.0,0.34,0.0,3.131,1.03,0.68,13,119,0.0,0.0,0.0,0.0,1.03,0.0,1
0.081,0.0,0.816,3.4,2.31,0.0,12,102,0.0,0.0,0.0,1.38,2.77,0.0,1
0.517,0.62,0.0,3.363,1.86,0.0,22,111,0.0,0.0,0.62,0.0,5.59,0.0,1
0.0,1.05,0.0,4.5,0.0,0.0,34,108,0.0,2.1,0.0,0.0,0.0,0.0,1
0.7,0.0,0.0,3.768,1.06,0.35,61,260,0.0,0.35,0.0,0.0,1.77,0.0,1
0.567,0.15,0.024,5.425,0.76,0.15,132,944,0.0,0.3,0.0,0.0,0.15,0.0,1
0.518,0.57,0.0,10.117,1.15,0.0,33,172,0.0,0.0,0.57,0.0,4.62,0.0,1
0.31,0.26,0.0,5.549,1.05,0.79,71,566,0.0,0.26,0.52,0.0,1.32,0.0,1
0.095,0.08,0.013,4.07,3.17,0.0,48,574,0.0,0.42,0.08,0.34,1.2,0.0,1
0.892,0.0,0.0,2.0,1.5,0.5,19,172,0.0,0.5,0.0,0.0,2.5,0.0,1
1.443,0.0,0.0,1.969,0.54,0.54,16,130,0.0,0.54,0.0,0.0,1.64,0.0,1
0.889,0.0,0.0,2.13,0.78,0.0,15,49,0.0,0.0,0.0,0.78,3.12,0.0,1
0.968,0.0,0.0,2.179,1.02,0.0,18,85,0.0,0.0,0.0,1.02,4.08,0.0,1
0.0,0.0,0.0,1.1,0.0,0.0,2,11,0.0,0.0,0.0,0.0,0.0,0.0,1
0.944,0.0,0.145,2.451,1.79,0.44,28,152,0.0,0.89,0.44,0.0,4.03,0.0,1
0.583,0.0,0.0,4.024,1.32,0.33,121,326,0.0,0.33,0.0,0.0,2.64,0.0,1
0.969,0.0,0.0,2.179,1.02,0.0,18,85,0.0,0.0,0.0,1.02,4.08,0.0,1
0.258,0.08,0.258,5.297,0.77,0.08,300,694,0.0,0.08,0.34,0.34,3.01,0.0,1
0.259,0.08,0.259,3.335,0.78,0.08,62,537,0.0,0.08,0.34,0.34,3.03,0.0,1
0.835,0.0,0.0,5.114,0.87,0.0,107,179,0.0,0.87,0.43,0.0,0.87,0.0,1
1.083,0.0,0.144,2.428,1.78,0.44,28,153,0.0,0.89,0.44,0.0,4.46,0.0,1
0.118,0.0,0.0,1.307,0.0,0.0,7,68,0.0,0.0,0.0,0.0,2.53,0.0,1
1.754,0.0,0.0,1.0,0.0,0.0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,1
0.032,0.0,0.14,1.364,0.53,0.05,14,303,0.0,0.11,0.23,0.23,1.19,0.0,1
0.0,3.12,0.0,9.428,0.0,3.12,60,66,0.0,6.25,0.0,0.0,6.25,0.0,1
0.28,0.0,0.186,2.823,1.59,1.59,85,240,0.0,0.53,0.53,0.53,6.91,0.0,1
0.135,0.93,0.0,4.0,1.4,0.46,46,96,0.0,1.4,0.0,0.0,1.87,0.0,1
0.0,1.12,0.0,1.416,2.82,2.25,5,51,0.0,0.56,0.0,0.56,2.25,0.0,1
0.83,0.0,0.069,3.215,5.29,0.0,43,164,0.0,0.66,1.32,0.0,5.29,0.0,1
1.192,0.0,0.0,1.463,2.41,1.61,12,101,0.0,0.8,0.0,0.0,0.8,0.0,1
0.585,0.14,0.046,5.02,0.58,0.14,132,979,0.0,0.29,0.0,0.0,0.43,0.0,1
0.095,0.08,0.013,4.07,3.17,0.0,48,574,0.0,0.42,0.08,0.34,1.2,0.0,1
0.294,0.0,0.147,2.333,0.81,0.0,11,63,0.0,0.0,0.0,0.0,1.63,0.0,1
1.18,1.08,0.252,5.323,1.08,0.54,68,181,0.0,0.54,0.0,1.62,4.32,0.0,1
0.108,0.08,0.013,4.07,3.17,0.0,48,574,0.0,0.42,0.08,0.34,1.2,0.0,1
1.183,1.07,0.253,5.454,1.07,0.53,68,180,0.0,0.53,0.0,1.61,4.3,0.0,1
0.067,0.51,0.0,2.676,1.03,2.07,17,91,0.0,0.0,0.0,0.0,1.03,0.0,1
1.045,1.09,0.321,5.047,1.64,0.54,140,212,0.0,2.19,0.0,0.0,3.84,0.0,1
0.985,0.0,0.184,3.923,1.15,0.38,78,255,0.0,1.15,0.0,0.38,2.7,0.0,1
0.869,0.0,0.186,4.0,1.17,0.39,78,256,0.0,1.17,0.0,0.39,2.73,0.0,1
0.915,0.86,0.0,3.891,4.76,0.0,47,144,0.0,0.43,1.29,0.0,1.29,0.0,1
0.187,0.0,0.112,3.184,0.68,0.0,30,363,0.0,0.68,0.0,1.6,1.83,0.0,1
0.615,0.0,0.0,2.403,1.12,0.56,19,137,0.0,0.56,0.0,0.0,2.25,0.0,1
0.893,0.0,0.0,2.122,0.55,0.55,16,121,0.0,0.55,0.0,0.0,1.67,0.0,1
0.816,0.0,0.068,3.173,4.6,0.0,43,165,0.0,0.65,1.31,0.0,5.26,0.0,1
0.353,0.61,0.0,2.25,1.23,0.0,13,81,0.0,0.0,0.0,0.0,2.46,0.0,1
0.563,0.44,0.15,86.65,3.33,0.44,1038,1733,0.0,1.77,0.44,0.44,3.33,0.0,1
0.287,0.08,0.223,3.314,0.94,0.08,62,537,0.0,0.08,0.34,0.34,3.0,0.0,1
0.0,1.04,0.0,3.812,2.08,2.08,11,61,0.0,0.0,0.0,0.0,2.08,0.0,1
0.202,1.33,1.417,29.125,5.33,0.0,223,233,0.0,0.0,0.0,0.0,1.33,0.0,1
1.182,1.08,0.253,5.454,1.08,0.54,68,180,0.0,0.54,0.0,1.62,4.32,0.0,1
0.08,0.0,0.0,2.111,0.62,0.0,18,57,0.0,2.5,0.0,0.0,3.12,0.0,1
0.165,0.0,0.165,6.266,2.72,0.9,41,94,0.0,0.0,0.0,0.0,3.63,0.0,1
0.0,0.0,0.022,1.423,0.02,0.05,20,965,0.0,0.25,0.02,0.37,0.05,0.0,1
0.0,0.0,0.022,1.423,0.02,0.05,20,965,0.0,0.25,0.02,0.37,0.05,0.0,1
0.212,0.53,0.185,6.815,1.16,0.62,583,1329,0.0,0.35,0.08,0.89,2.5,0.0,1
0.468,0.0,0.267,3.315,0.48,0.96,61,242,0.0,0.96,0.0,0.96,1.44,0.0,1
0.081,0.0,0.816,3.4,2.31,0.0,12,102,0.0,0.0,0.0,1.38,2.77,0.0,1
0.366,0.68,0.061,1.895,1.37,0.68,12,91,0.0,1.03,0.34,0.34,5.86,0.0,1
0.633,0.0,0.063,9.043,0.72,0.72,363,841,0.0,0.18,0.54,0.0,2.7,0.0,1
0.779,0.39,0.021,2.689,1.57,1.57,49,476,0.0,0.39,0.39,0.13,2.61,0.0,1
0.0,0.32,0.157,1.537,3.25,0.32,10,143,0.0,0.65,0.32,0.0,2.28,0.0,1
0.0,0.32,0.159,1.537,3.24,0.32,10,143,0.0,0.64,0.32,0.0,2.27,0.0,1
0.258,0.0,0.032,3.112,3.14,0.59,43,305,0.0,0.19,0.19,0.0,4.52,0.0,1
0.188,0.0,0.112,3.105,0.69,0.0,30,354,0.0,0.69,0.0,1.61,1.84,0.0,1
1.094,0.0,0.0,2.021,0.71,0.71,16,95,0.0,0.71,0.0,0.0,1.42,0.0,1
0.0,2.98,0.171,13.0,2.98,1.49,140,156,0.0,0.0,0.0,0.0,0.0,0.0,1
0.884,0.16,0.752,5.328,0.0,0.5,47,1087,0.33,0.33,0.0,0.0,0.66,0.0,1
0.683,0.0,0.0,2.338,1.1,0.55,19,145,0.0,0.55,0.0,0.0,2.2,0.0,1
0.773,0.16,0.08,6.586,0.98,0.16,132,955,0.0,0.32,0.0,0.0,0.32,0.0,1
0.0,0.0,0.0,1.543,0.36,0.0,13,88,0.0,1.81,0.0,0.0,0.72,0.0,1
1.113,1.69,0.278,173.0,2.54,10.16,418,519,0.0,0.0,0.84,0.0,0.84,0.0,1
0.0,0.0,0.0,1.103,0.64,0.0,3,32,0.0,0.0,0.0,0.0,1.29,0.0,1
0.0,0.0,0.0,1.103,0.64,0.0,3,32,0.0,0.0,0.0,0.0,1.29,0.0,1
0.088,0.08,0.013,4.16,3.14,0.0,48,1140,0.0,0.43,0.08,0.34,1.2,0.0,1
0.471,2.18,0.0,15.08,1.09,0.0,147,377,0.0,1.09,0.0,0.0,3.27,0.0,1
0.0,0.0,0.082,7.17,0.85,0.85,42,294,0.0,0.0,0.0,0.0,4.7,0.0,1
1.806,0.0,0.0,1.293,2.1,1.05,5,75,0.0,0.0,0.0,0.0,0.0,0.0,1
0.129,0.0,0.193,7.258,1.12,0.22,71,617,0.0,0.22,0.22,0.22,1.35,0.0,1
0.479,2.23,0.0,16.739,1.11,0.0,147,385,0.0,1.11,0.0,0.0,3.35,0.0,1
0.814,0.0,0.0,2.6,0.0,0.0,15,39,0.0,0.0,0.0,1.12,4.49,0.0,1
0.0,0.32,0.158,1.494,3.26,0.32,10,139,0.0,0.65,0.32,0.0,2.28,0.0,1
0.937,0.0,0.0,11.888,3.59,0.0,116,214,0.0,0.71,0.0,0.0,1.43,0.0,1
0.479,2.23,0.0,16.739,1.11,0.0,147,385,0.0,1.11,0.0,0.0,3.35,0.0,1
0.145,1.07,0.437,1.823,2.15,2.15,10,62,0.0,0.0,0.0,0.0,0.0,0.0,1
0.461,0.0,0.263,3.493,0.47,0.95,61,255,0.0,0.95,0.0,0.95,1.42,0.0,1
0.862,0.15,0.707,5.423,0.0,1.11,51,1128,0.95,0.31,0.0,0.0,0.79,0.0,1
0.0,0.0,0.0,2.5,0.39,0.0,21,130,3.58,0.0,0.0,0.0,0.39,0.0,1
2.766,0.0,0.829,5.607,1.53,0.0,25,157,0.0,0.0,0.0,0.0,2.3,0.0,1
0.39,0.08,0.097,5.594,0.73,0.48,119,1561,0.0,1.38,0.16,0.08,3.5,0.0,1
0.75,0.0,0.305,3.401,1.04,1.11,94,966,0.0,0.27,0.69,0.06,2.37,0.0,1
